metz,smiles,proteinName,protein_dataset
7.0,CC(C(=O)N(C)C)n1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(C)cc5)cc4,MINK,metz
6.6,CC(C(=O)N(C)C)n1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(C)cc5)cc4,MKNK2,metz
5.6,CC(C(=O)N(C)C)n1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(C)cc5)cc4,NEK4,metz
7.0,CC(C(=O)N(C)C)n1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(C)cc5)cc4,RPS6KB1,metz
6.7,CC(C(=O)N(C)C)n1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(C)cc5)cc4,SRC,metz
6.9,CC(C(=O)N(C)C)n1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(C)cc5)cc4,HIPK4,metz
7.8,CC(C(=O)N(C)C)n1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(C)cc5)cc4,FRK,metz
6.1,CC(C(=O)N(C)C)n1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(C)cc5)cc4,FER,metz
7.4,CC(C(=O)N(C)C)n1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(C)cc5)cc4,SLK,metz
6.1,CC(C(=O)N(C)C)n1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(C)cc5)cc4,EPHA2,metz
5.8,CC(C(=O)N(C)C)n1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(C)cc5)cc4,SRMS,metz
8.6,CC(C(=O)N(C)C)n1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(C)cc5)cc4,AXL,metz
7.4,CC(C(=O)N(C)C)n1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(C)cc5)cc4,FLT4,metz
7.6,CC(C(=O)N(C)C)n1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(C)cc5)cc4,LYN,metz
5.4,CC(C(=O)N(C)C)n1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(C)cc5)cc4,MARK2,metz
6.8,CC(C(=O)N(C)C)n1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(C)cc5)cc4,ALK,metz
6.8,CC(C(=O)N(C)C)n1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(C)cc5)cc4,BTK,metz
7.6,CC(C(=O)N(C)C)n1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(C)cc5)cc4,ABL1,metz
5.4,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,CLK2,metz
6.7,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,CSF1R,metz
6.1,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,CSNK1A1,metz
5.7,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,DYRK1A,metz
6.4,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,FGFR1,metz
7.3,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,FLT1,metz
8.5,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,FLT3,metz
6.3,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,FYN,metz
5.2,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,GSK3B,metz
6.8,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,KDR,metz
6.9,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,LCK,metz
5.9,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,LIMK1,metz
6.6,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,MAP4K2,metz
5.8,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,MAP4K4,metz
6.2,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,NEK2,metz
5.8,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,NTRK1,metz
5.8,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,NTRK2,metz
6.7,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,NTRK3,metz
7.1,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,RET,metz
5.7,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,ROCK1,metz
5.5,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,RPS6KA3,metz
8.3,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,STK6,metz
5.6,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,TAO1,metz
6.4,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,CLK4,metz
6.1,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,MET,metz
6.6,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,PLK4,metz
5.6,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,PLK3,metz
6.5,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,ROCK2,metz
5.4,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,SGK,metz
5.9,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,MARK3,metz
6.6,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,STK3,metz
6.9,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,BLK,metz
5.6,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,CAMK1,metz
5.4,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,CAMK2D,metz
5.3,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,CAMK2G,metz
7.7,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,CSNK1G1,metz
6.1,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,CSNK1G2,metz
6.0,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,CSNK1G3,metz
6.9,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,HIPK2,metz
6.2,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,IRAK1,metz
5.4,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,IRAK4,metz
5.9,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,MINK,metz
6.5,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,MKNK2,metz
5.9,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,NEK4,metz
5.4,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,PRKD2,metz
6.0,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,RPS6KB1,metz
5.8,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,DYRK3,metz
6.9,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,HIPK4,metz
5.1,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,KIAA1811,metz
5.5,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,PRKCI,metz
6.8,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,FRK,metz
8.1,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,MAP4K5,metz
6.4,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,FER,metz
6.4,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,SLK,metz
5.8,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,CSNK1D,metz
5.3,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,SRPK1,metz
6.3,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,ZAK,metz
6.4,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,AXL,metz
5.7,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,FES,metz
6.7,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,FLT4,metz
6.7,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,LYN,metz
6.2,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,MARK2,metz
6.1,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,SYK,metz
6.6,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,ABL1,metz
6.1,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,CLK2,metz
7.8,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,CSF1R,metz
5.8,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,CSNK1A1,metz
7.1,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,FGFR1,metz
8.8,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,FLT1,metz
7.8,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,FLT3,metz
6.8,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,FYN,metz
6.3,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,JAK2,metz
6.2,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,JAK3,metz
7.7,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,KDR,metz
7.7,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,LCK,metz
6.4,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,LIMK1,metz
6.8,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,MAP4K2,metz
6.3,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,MAP4K4,metz
5.4,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,MAPK9,metz
5.8,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,NEK2,metz
7.0,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,NTRK1,metz
6.8,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,NTRK2,metz
5.4,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,PRKCN,metz
6.1,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,PTK2,metz
5.6,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,ROCK1,metz
5.3,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,RPS6KA3,metz
8.3,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,STK12,metz
7.3,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,STK6,metz
5.6,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,TAO1,metz
6.3,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,CLK4,metz
6.9,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,MET,metz
6.6,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,ITK,metz
6.7,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,PLK4,metz
6.3,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,INSR,metz
5.4,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,PLK3,metz
5.9,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,FGFR3,metz
7.3,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,KIT,metz
6.0,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,ROCK2,metz
5.2,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,SGK,metz
5.6,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,MARK3,metz
6.6,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,STK3,metz
8.3,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,BLK,metz
6.0,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,CHEK2,metz
5.9,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,CSNK1G1,metz
6.0,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,CSNK1G2,metz
6.0,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,MINK,metz
5.7,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,MKNK2,metz
5.7,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,NEK4,metz
5.5,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,PRKD2,metz
5.9,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,RPS6KA5,metz
5.9,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,RPS6KB1,metz
6.3,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,SRC,metz
5.8,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,DYRK3,metz
6.6,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,HIPK4,metz
5.1,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,KIAA1811,metz
5.1,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,PAK1,metz
8.4,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,MAP4K5,metz
6.5,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,SLK,metz
5.7,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,CSNK1D,metz
6.3,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,EPHA2,metz
5.9,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,ERBB4,metz
5.7,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,SRPK1,metz
5.4,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,ZAK,metz
7.4,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,AXL,metz
7.1,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,FLT4,metz
7.6,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,LYN,metz
5.9,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,MARK2,metz
7.5,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,ABL1,metz
5.1,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,CLK2,metz
6.7,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,CSF1R,metz
5.5,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,CSNK1A1,metz
5.6,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,DYRK1A,metz
6.7,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,FGFR1,metz
8.7,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,FLT1,metz
6.9,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,FYN,metz
8.3,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,KDR,metz
7.8,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,LCK,metz
6.2,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,LIMK1,metz
6.5,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,MAP4K2,metz
6.6,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,MAP4K4,metz
6.1,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,NEK2,metz
6.6,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,NTRK1,metz
6.3,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,NTRK2,metz
5.1,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,PIM1,metz
5.1,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,PRKCN,metz
5.9,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,PTK2,metz
7.6,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,RET,metz
5.2,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,ROCK1,metz
5.5,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,RPS6KA3,metz
8.0,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,STK6,metz
5.1,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,TAO1,metz
6.6,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,CLK4,metz
6.0,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,MET,metz
6.4,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,ITK,metz
7.0,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,PLK4,metz
5.8,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,INSR,metz
5.8,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,PLK3,metz
6.1,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,KIT,metz
6.3,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,PTK6,metz
5.7,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,ROCK2,metz
5.5,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,MARK3,metz
7.1,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,STK3,metz
7.8,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,BLK,metz
5.4,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,CSNK1G1,metz
5.5,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,CSNK1G2,metz
5.8,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,CSNK1G3,metz
6.6,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,HIPK2,metz
6.6,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,MINK,metz
6.3,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,MKNK2,metz
5.9,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,RPS6KA5,metz
5.9,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,RPS6KB1,metz
6.4,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,SRC,metz
6.5,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,HIPK4,metz
5.1,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,KIAA1811,metz
7.0,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,FRK,metz
6.8,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,FER,metz
6.4,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,SLK,metz
6.3,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,CSNK1D,metz
5.6,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,EPHA2,metz
6.2,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,ERBB4,metz
5.2,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,ZAK,metz
7.2,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,AXL,metz
7.3,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,FLT4,metz
7.3,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,LYN,metz
5.9,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,MARK2,metz
6.1,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,BTK,metz
7.0,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,ABL1,metz
5.2,Cc1ccc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4,CLK2,metz
8.0,Cc1ccc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4,CSF1R,metz
6.2,Cc1ccc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4,FGFR1,metz
8.9,Cc1ccc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4,FLT1,metz
8.4,Cc1ccc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4,FLT3,metz
6.3,Cc1ccc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4,FYN,metz
8.3,Cc1ccc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4,KDR,metz
7.1,Cc1ccc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4,LCK,metz
5.7,Cc1ccc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4,LIMK1,metz
7.0,Cc1ccc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4,MAP4K2,metz
6.6,Cc1ccc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4,MAP4K4,metz
6.7,Cc1ccc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4,NEK2,metz
5.6,Cc1ccc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4,NTRK1,metz
5.6,Cc1ccc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4,NTRK2,metz
6.4,Cc1ccc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4,NTRK3,metz
5.8,Cc1ccc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4,PRKAA1,metz
6.1,Cc1ccc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4,PTK2,metz
6.0,Cc1ccc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4,ROCK1,metz
