drug,target,value,fold
260,43,6.1,1
260,44,5.8,2
260,45,5.7,3
260,46,5.4,3
260,50,6.5,2
260,53,7.1,5
260,55,6.8,1
260,56,7.7,3
260,57,6.1,2
260,59,6.1,3
260,61,6.0,2
260,62,5.3,1
260,66,5.6,3
260,67,6.6,2
260,68,6.7,2
260,69,6.0,4
260,70,5.7,3
260,73,6.2,1
260,74,5.8,2
260,75,6.0,2
260,80,6.3,5
260,83,7.2,3
260,85,7.2,2
260,87,6.0,2
260,88,7.9,3
260,92,5.3,2
260,95,7.0,5
260,96,7.6,5
260,97,5.5,4
260,98,7.4,1
260,100,6.2,3
260,102,6.7,2
260,103,6.5,2
260,104,5.8,5
260,105,8.0,3
260,106,5.1,3
260,107,7.5,3
260,109,5.9,4
260,110,6.0,3
260,112,6.5,3
260,113,6.6,1
260,114,6.5,2
260,115,5.8,4
260,117,6.8,2
260,118,7.3,2
260,122,5.8,3
260,124,6.2,1
260,125,7.2,1
260,140,5.7,5
260,142,7.4,5
260,143,5.6,4
260,150,5.6,3
260,151,5.7,1
260,157,5.6,5
260,161,6.2,5
261,1,6.6,3
261,2,5.6,2
261,8,7.3,4
261,9,7.3,2
261,13,6.0,2
261,14,5.8,4
261,15,7.3,3
261,16,5.4,5
261,17,6.2,2
261,18,6.1,2
261,19,5.3,4
261,25,5.4,4
261,26,6.8,1
261,28,6.4,1
261,32,8.8,4
261,33,5.2,5
261,35,6.3,2
261,37,8.0,5
261,38,7.9,3
261,39,7.1,5
261,40,5.7,1
261,41,5.7,4
261,42,5.9,4
261,43,5.7,4
261,44,5.8,4
261,46,6.0,4
261,50,6.5,5
261,53,7.8,2
261,54,5.9,1
261,55,6.4,3
261,57,5.7,5
261,59,5.9,5
261,61,6.6,2
261,73,6.1,4
261,75,6.2,2
261,80,6.1,5
261,81,6.0,3
261,83,5.6,2
261,84,7.3,2
261,85,6.4,1
261,87,5.4,5
261,88,8.2,3
261,96,6.9,3
261,98,7.4,2
261,100,5.0,4
261,102,5.8,5
261,105,6.5,2
261,107,6.3,5
261,110,5.8,3
261,113,6.4,4
261,118,7.0,1
261,124,6.3,4
261,125,6.5,4
261,138,5.7,3
261,142,6.5,3
261,150,5.4,1
261,151,6.0,3
261,157,5.2,5
261,161,5.3,2
262,12,5.9,2
262,18,5.1,5
262,37,5.8,3
262,38,5.7,4
262,39,5.4,2
262,40,5.2,4
262,53,5.4,4
262,66,6.4,5
262,85,5.3,5
262,92,6.3,4
262,98,6.7,4
262,100,5.1,4
262,117,5.0,1
262,157,5.1,5
262,161,6.2,5
263,7,6.7,1
263,8,7.7,5
263,9,7.7,5
263,10,5.3,5
263,12,7.1,1
263,13,6.2,5
263,14,7.6,3
263,15,7.1,5
263,16,6.0,4
263,17,7.0,2
263,18,8.1,4
263,19,6.6,3
263,20,5.1,1
263,21,5.3,2
263,23,5.4,2
263,24,5.5,2
263,25,5.9,3
263,26,6.7,1
263,28,5.9,2
263,31,5.6,5
263,32,7.9,1
263,33,6.1,5
263,37,6.5,3
263,38,7.2,4
263,39,7.7,3
263,40,7.1,4
263,41,8.0,4
263,42,6.5,5
263,43,5.9,3
263,45,6.6,2
263,46,5.5,1
263,52,6.0,5
263,53,7.5,4
263,54,6.3,5
263,55,5.9,5
263,56,7.0,5
263,57,6.5,5
263,59,7.2,3
263,61,7.3,5
263,66,6.0,3
263,68,6.2,3
263,69,6.2,4
263,73,5.7,1
263,74,6.6,4
263,75,6.6,3
263,76,6.0,2
263,79,5.9,5
263,80,8.2,2
263,83,6.1,3
263,84,6.4,4
263,85,7.2,2
263,87,6.8,4
263,92,7.0,5
263,96,7.1,4
263,97,6.0,2
263,99,6.2,3
263,100,6.5,4
263,101,5.8,2
263,102,6.4,4
263,103,5.9,4
263,104,5.4,4
263,105,6.8,5
263,107,6.8,4
263,110,6.2,5
263,112,5.7,4
263,113,6.5,3
263,114,5.9,1
263,117,6.0,2
263,118,6.3,5
263,122,5.9,5
263,124,6.9,5
263,125,5.5,3
263,138,6.4,2
263,140,5.8,4
263,144,6.9,1
263,145,7.4,5
263,149,6.0,4
263,150,6.0,2
263,151,5.3,2
263,157,6.3,2
263,161,7.4,3
263,162,7.2,2
263,164,5.6,2
264,1,8.0,2
264,8,6.6,4
264,9,7.3,5
264,12,6.6,5
264,13,6.3,1
264,14,6.4,3
264,15,6.2,5
264,16,5.5,5
264,17,6.2,5
264,18,7.5,4
264,19,5.4,3
264,26,5.9,5
264,32,7.0,4
264,37,5.2,4
264,38,5.6,2
264,39,7.3,1
264,40,5.4,1
264,41,6.8,5
264,42,5.8,3
264,45,6.8,3
264,53,7.7,2
264,54,5.5,3
264,56,5.8,2
264,57,6.2,4
264,59,6.0,1
264,61,6.5,1
264,66,5.3,2
264,69,5.5,3
264,73,5.2,1
264,74,5.5,3
264,75,7.6,5
264,79,5.5,1
264,80,7.7,3
264,83,5.7,3
264,84,5.5,1
264,87,6.9,3
264,92,6.6,1
264,96,6.6,5
264,98,8.0,4
264,99,5.6,4
264,100,6.2,3
264,102,6.1,5
264,105,6.6,2
264,107,6.2,2
264,108,7.4,5
264,112,5.4,3
264,118,5.4,5
264,124,7.0,2
264,125,5.5,5
264,138,5.7,5
264,140,5.4,1
264,161,5.7,1
264,162,6.9,2
265,5,5.4,4
265,7,6.2,4
265,8,8.4,5
265,10,6.0,5
265,11,8.6,5
265,12,6.8,5
265,15,7.6,1
265,18,7.8,5
265,19,7.3,3
265,24,5.5,2
265,26,6.6,2
265,29,5.3,3
265,31,6.0,4
265,37,6.0,1
265,38,6.1,3
265,39,8.2,2
265,40,7.1,5
265,45,6.9,5
265,46,5.3,1
265,53,8.1,3
265,64,5.2,3
265,70,5.3,3
265,73,6.1,3
265,83,5.9,2
265,84,5.9,1
265,85,6.5,2
265,86,9.0,1
265,92,8.0,1
265,96,6.8,4
265,97,6.1,4
265,99,6.6,2
265,100,6.4,3
265,103,6.4,1
265,107,6.5,3
265,109,6.0,4
265,110,5.7,4
265,112,6.0,2
265,117,6.7,1
265,118,6.9,5
265,122,5.6,2
265,124,6.9,2
265,133,7.7,1
265,142,5.9,2
265,144,7.5,4
265,151,5.2,3
265,157,6.3,5
265,161,7.4,4
265,164,5.6,5
266,7,5.8,4
266,8,6.5,3
266,10,6.6,5
266,15,5.2,4
266,18,6.3,3
266,19,5.2,3
266,23,5.2,5
266,26,6.6,1
266,28,7.3,5
266,29,5.3,4
266,32,7.9,1
266,37,6.9,1
266,39,6.5,5
266,40,5.4,2
266,45,5.8,2
266,46,5.6,1
266,50,5.9,4
266,53,7.1,3
266,66,5.6,2
266,70,5.5,5
266,73,5.8,5
266,84,5.9,4
266,96,6.3,2
266,98,7.1,2
266,100,5.2,5
266,103,6.2,4
266,107,6.5,4
266,113,5.8,5
266,117,5.8,3
266,118,6.6,1
266,122,5.5,1
266,124,5.9,3
266,151,5.9,5
266,161,5.3,3
266,164,6.0,5
267,1,5.6,2
267,8,5.6,4
267,14,5.6,5
267,17,6.2,3
267,18,6.0,2
267,26,6.6,4
267,28,8.8,1
267,29,5.6,1
267,39,6.1,2
267,40,5.7,3
267,43,5.2,3
267,50,7.2,4
267,53,6.1,2
267,55,5.5,3
267,57,5.2,1
267,59,5.3,1
267,62,5.3,4
267,73,5.3,2
267,75,6.2,2
267,80,5.1,2
267,83,6.5,3
267,85,5.7,3
267,87,5.5,5
267,88,6.3,3
267,95,7.5,4
267,96,5.5,5
267,98,6.2,5
267,100,5.5,2
267,105,6.3,2
267,107,5.7,3
267,112,5.3,1
267,114,5.2,2
267,117,5.1,5
267,118,6.5,1
267,121,6.2,1
267,124,5.1,2
267,125,7.1,2
267,142,5.8,2
267,161,5.5,3
268,1,5.9,5
268,12,8.4,2
268,14,5.7,3
268,18,5.8,1
268,37,5.4,4
268,40,5.2,3
268,45,5.7,3
268,57,5.6,1
268,58,5.5,2
268,66,5.3,1
268,75,5.4,2
268,87,5.8,3
268,88,5.7,5
268,98,5.9,3
268,99,5.5,1
268,100,5.5,1
268,161,5.7,2
268,163,5.5,5
269,1,6.9,3
269,3,5.9,3
269,5,5.4,1
269,8,6.2,4
269,9,7.0,3
269,15,5.6,3
269,18,5.6,2
269,19,5.4,3
269,23,5.2,3
269,29,5.3,2
269,37,5.6,5
269,38,5.5,2
269,39,6.8,1
269,40,5.4,1
269,53,7.5,3
269,55,6.7,2
269,59,5.9,2
269,60,7.0,4
269,66,5.3,5
269,75,6.6,1
269,83,5.1,1
269,85,6.0,3
269,87,5.7,4
269,88,7.6,2
269,89,6.6,5
269,92,5.5,2
269,94,7.1,1
269,96,5.3,5
269,97,5.5,2
269,98,6.7,2
269,100,5.6,1
269,107,5.3,5
269,109,6.2,3
269,110,5.9,2
269,114,5.3,5
269,117,6.4,2
269,118,5.2,3
269,125,6.2,1
269,157,5.2,1
269,161,6.8,5
269,162,5.2,1
270,1,7.3,4
270,8,5.9,3
270,9,6.1,5
270,15,5.2,5
270,17,6.3,4
270,18,6.1,3
270,38,6.2,1
270,39,6.6,3
270,41,5.3,4
270,53,6.8,3
270,55,6.2,1
270,59,5.4,4
270,66,5.2,5
270,74,5.5,1
270,75,6.6,5
270,80,5.9,2
270,83,5.4,4
270,85,5.9,1
270,87,6.1,5
270,88,8.3,3
270,92,5.3,2
270,96,6.4,2
270,98,7.3,3
270,100,5.7,3
270,105,6.6,1
270,107,6.3,5
270,114,5.6,2
270,118,5.6,5
270,121,5.9,3
270,124,5.8,1
270,125,6.7,3
270,150,5.4,1
270,161,5.2,2
271,7,5.8,5
271,18,5.7,5
271,20,5.2,2
271,37,6.0,5
271,39,5.4,4
271,45,5.6,1
271,66,5.2,4
271,92,8.0,1
271,98,6.7,5
271,99,5.7,3
271,100,5.5,5
271,103,5.5,1
271,117,5.8,5
271,161,5.3,2
271,164,6.0,2
272,1,8.3,2
272,7,5.9,3
272,8,6.4,3
272,9,6.8,4
272,12,7.4,2
272,13,6.2,4
272,14,5.7,4
272,15,5.2,2
272,16,5.4,5
272,17,6.6,3
272,18,6.7,4
272,19,5.7,3
272,20,5.1,4
272,23,5.5,1
272,37,6.2,1
272,38,7.0,4
272,39,6.8,5
272,40,6.8,3
272,41,6.0,3
272,43,5.1,1
272,52,5.0,2
272,53,6.8,5
272,55,5.2,3
272,56,7.5,1
272,57,5.1,3
272,61,5.5,4
272,66,8.0,4
272,67,5.5,1
272,68,5.8,5
272,73,5.6,5
272,75,6.6,2
272,80,6.2,5
272,83,5.9,5
272,84,5.8,3
272,87,6.8,5
272,92,7.4,4
272,96,5.5,1
272,97,5.8,5
272,98,8.4,4
272,99,6.1,4
272,100,6.5,2
272,101,5.2,4
272,102,5.8,3
272,105,6.5,4
272,107,5.3,5
272,110,5.6,5
272,111,5.3,1
272,112,5.5,4
272,116,5.7,5
272,118,5.2,3
272,122,5.1,4
272,124,5.9,4
272,125,5.8,5
272,157,6.6,4
272,161,8.0,5
272,162,6.9,5
273,1,8.3,2
273,8,6.5,4
273,9,6.2,2
273,12,7.2,2
273,14,5.3,2
273,15,5.3,2
273,16,5.6,2
273,17,6.3,1
273,18,6.6,3
273,19,6.0,1
273,37,5.6,2
273,38,6.2,5
273,39,6.7,1
273,40,6.9,5
273,41,5.6,4
273,45,5.3,4
273,53,6.7,5
273,57,5.3,3
273,66,7.9,5
273,75,6.4,5
273,80,6.0,3
273,83,5.3,2
273,85,7.4,3
273,87,6.5,3
273,88,8.3,3
273,92,7.4,3
273,96,5.6,3
273,97,5.8,4
273,98,8.1,3
273,99,6.0,1
273,100,5.9,1
273,102,5.8,1
273,105,6.1,2
273,111,5.3,1
273,114,5.7,4
273,124,5.6,1
273,125,5.6,2
273,145,7.7,3
273,150,5.3,2
273,157,7.0,4
273,161,8.2,3
273,162,6.9,2
274,5,5.4,2
274,7,8.0,2
274,9,9.0,4
274,10,6.2,4
274,11,5.5,1
274,12,8.0,5
274,13,7.1,1
274,14,8.4,3
274,15,8.1,5
274,16,6.1,3
274,17,7.8,2
274,19,8.2,3
274,20,6.2,3
274,22,5.8,1
274,23,5.6,3
274,24,6.2,1
274,25,5.6,4
274,26,7.1,4
274,28,5.9,2
274,29,5.4,4
274,31,7.5,3
274,32,9.1,5
274,33,6.6,3
274,35,7.2,5
274,37,7.3,5
274,38,7.8,3
274,40,8.3,3
274,42,7.1,3
274,43,5.8,2
274,45,7.5,2
274,46,6.4,3
274,50,6.1,2
274,52,6.5,1
274,54,6.6,3
274,55,6.5,3
274,56,8.3,2
274,57,7.0,4
274,59,7.2,4
274,61,7.6,5
274,62,5.5,3
274,64,5.2,4
274,66,7.8,2
274,67,5.7,1
274,68,7.0,4
274,69,6.5,1
274,70,5.3,1
274,71,6.0,4
274,73,6.6,3
274,74,7.1,2
274,75,8.3,4
274,79,6.9,5
274,83,6.8,4
274,84,7.1,5
274,85,7.1,4
274,87,8.4,5
274,89,7.7,1
274,92,8.3,5
274,96,7.6,4
274,97,6.8,5
274,99,7.2,5
274,100,7.4,4
274,101,6.0,3
274,102,7.9,2
274,103,6.2,1
274,104,6.0,2
274,105,8.0,5
274,107,7.4,3
274,108,8.8,3
274,109,5.6,3
274,110,6.8,1
274,111,5.1,2
274,112,6.6,5
274,113,5.4,4
274,114,5.8,1
274,116,6.8,5
274,118,6.7,2
274,121,6.2,5
274,122,6.2,1
274,124,7.9,3
274,125,6.3,5
274,131,6.0,4
274,138,7.1,3
274,140,6.6,5
274,142,5.9,2
274,144,7.0,1
274,149,6.3,1
274,150,5.9,2
274,151,6.2,5
274,157,8.0,5
274,162,8.0,2
274,166,5.8,5
275,5,5.5,2
275,7,7.5,4
275,10,6.0,4
275,11,5.6,3
275,12,7.9,4
275,13,6.7,5
275,14,7.8,1
275,15,8.1,2
275,16,6.0,4
275,17,7.7,4
275,19,7.8,4
275,20,6.1,5
275,22,5.7,4
275,23,5.8,2
275,24,6.1,1
275,25,5.4,2
275,26,6.9,2
275,31,7.1,3
275,32,7.9,4
275,33,6.8,1
275,34,6.1,2
275,35,6.7,5
275,37,7.0,2
275,38,7.5,1
275,40,8.4,5
275,41,7.9,2
275,42,6.9,2
275,43,5.5,4
275,45,7.4,4
275,46,6.4,1
275,50,5.9,1
275,52,6.2,3
275,54,6.8,3
275,55,6.6,3
275,56,8.9,5
275,57,6.6,2
275,59,7.2,1
275,61,7.7,4
275,62,5.7,5
275,64,5.1,5
275,66,7.8,5
275,67,5.7,4
275,68,7.0,3
275,69,6.0,4
275,71,5.9,5
275,73,6.5,1
275,74,6.9,2
275,75,8.0,5
275,76,5.9,1
275,79,6.5,3
275,83,7.1,2
275,84,7.4,2
275,85,7.6,3
275,87,8.4,5
275,89,7.7,3
275,92,8.2,2
275,96,7.6,4
275,97,6.9,5
275,99,7.2,1
275,100,7.5,5
275,101,5.8,4
275,102,8.1,5
275,103,6.4,4
275,104,6.0,4
275,105,8.1,2
275,107,7.3,2
275,108,7.9,2
275,109,5.6,2
275,110,7.0,1
275,111,5.1,3
275,112,6.6,1
275,114,5.6,5
275,116,6.7,4
275,118,6.6,2
275,121,6.2,1
275,122,5.4,4
275,124,7.9,1
275,125,6.4,3
275,131,6.1,3
275,138,6.9,1
275,140,6.9,5
275,142,5.9,3
275,144,6.6,3
275,149,6.1,3
275,150,6.3,1
275,151,6.2,1
275,157,7.9,5
275,162,7.8,4
275,163,5.5,1
276,1,6.8,1
276,8,5.7,5
276,9,6.5,3
276,13,5.8,4
276,14,5.9,2
276,15,5.1,1
276,17,5.9,5
276,18,5.6,3
276,24,5.2,1
276,25,6.4,2
276,26,7.6,2
276,28,6.8,1
276,29,5.7,3
276,32,7.3,2
276,33,5.1,3
276,38,5.9,1
276,39,6.3,5
276,40,5.1,5
276,41,5.6,2
276,42,6.0,3
276,43,5.4,1
276,46,5.4,3
276,50,6.5,3
276,53,6.5,5
276,54,5.8,2
276,55,5.8,4
276,57,5.8,1
276,62,5.3,1
276,73,6.1,1
276,74,5.7,2
276,75,5.9,1
276,80,5.5,4
276,81,5.9,1
276,83,6.6,2
276,84,5.5,1
276,85,5.7,4
276,87,6.0,4
276,88,7.9,3
276,95,6.8,1
276,96,6.6,3
276,98,6.3,4
276,100,6.0,4
276,105,6.9,1
276,107,6.6,4
276,112,6.4,4
276,113,5.8,5
276,114,5.2,2
276,117,5.3,4
276,118,5.8,4
276,121,6.8,5
276,124,6.0,4
276,125,7.9,1
276,131,5.9,4
276,138,5.8,3
276,142,6.8,2
276,143,5.3,5
276,150,5.3,1
276,151,5.6,1
276,162,5.2,4
277,1,7.0,3
277,8,6.1,4
277,9,6.8,1
277,14,5.5,4
277,15,5.5,5
277,17,6.3,2
277,18,6.1,5
277,19,5.5,5
277,25,6.6,1
277,26,6.8,4
277,28,6.8,2
277,32,7.7,2
277,37,6.8,1
277,38,7.2,1
277,39,6.2,3
277,40,5.7,3
277,41,5.2,5
277,42,7.5,1
277,43,6.3,2
277,45,5.7,5
277,46,5.5,4
277,50,6.1,3
277,53,7.0,2
277,54,7.0,3
277,55,6.2,1
277,56,6.8,1
277,57,5.3,3
277,59,5.6,1
277,66,5.4,1
277,67,5.4,5
277,69,5.6,1
277,73,5.9,5
277,74,5.7,4
277,75,6.7,5
277,79,5.9,4
277,80,6.0,1
277,83,6.5,3
277,84,6.9,3
277,85,6.1,3
277,87,5.7,3
277,88,8.0,1
277,95,6.2,4
277,96,6.6,2
277,98,7.0,5
277,100,5.6,1
277,102,6.1,4
277,105,6.6,3
277,107,6.4,1
277,113,5.8,5
277,114,5.7,1
277,118,6.6,3
277,122,5.9,4
277,124,6.3,4
277,125,6.5,2
277,138,7.1,5
277,142,6.3,2
277,151,5.4,2
278,1,8.5,2
278,5,5.7,4
278,7,6.8,1
278,8,8.3,4
278,9,7.2,2
278,11,5.4,4
278,12,8.2,2
278,13,6.5,2
278,14,7.9,5
278,15,7.3,5
278,16,6.0,1
278,17,8.3,5
278,19,8.1,2
278,20,5.9,1
278,21,5.9,3
278,23,5.8,2
278,24,6.4,3
278,25,6.0,2
278,26,7.0,5
278,29,5.4,2
278,31,5.8,1
278,32,7.9,2
278,33,7.2,3
278,37,6.9,5
278,38,8.0,2
278,39,8.1,2
278,40,8.2,3
278,41,7.8,5
278,42,6.2,2
278,43,5.4,4
278,45,6.5,3
278,46,6.0,2
278,50,6.5,5
278,53,8.1,4
278,54,7.0,4
278,55,5.4,2
278,56,9.1,1
278,57,7.0,4
278,59,7.6,2
278,61,7.7,2
278,62,5.2,4
278,63,5.8,5
278,66,8.1,2
278,67,5.8,1
278,68,6.3,3
278,69,6.6,2
278,70,5.5,3
278,71,6.2,5
278,73,6.4,2
278,74,7.1,5
278,75,6.1,5
278,79,5.6,3
278,80,7.3,1
278,83,7.3,4
278,84,6.5,5
278,87,8.3,5
278,92,8.1,3
278,96,7.3,2
278,97,6.1,1
278,99,7.3,2
278,100,7.5,1
278,102,6.3,5
278,103,6.3,4
278,105,6.6,1
278,107,7.3,4
278,109,5.8,2
278,110,6.5,4
278,112,6.8,4
278,114,6.3,2
278,116,6.1,3
278,117,6.1,5
278,118,6.2,2
278,121,6.1,2
278,122,5.6,5
278,124,7.2,2
278,125,6.9,1
278,138,7.4,4
278,140,6.0,2
278,150,6.6,5
278,151,5.8,2
278,162,8.0,1
278,164,6.5,3
279,1,6.3,4
279,2,5.8,3
279,7,6.8,5
279,8,8.1,5
279,9,6.9,3
279,10,6.0,4
279,26,6.4,2
279,27,6.8,4
279,28,6.0,1
279,30,6.0,2
279,31,5.5,4
279,32,8.5,3
279,35,7.9,2
279,37,6.9,1
279,38,6.9,5
279,39,8.4,4
279,47,5.7,5
279,48,6.0,1
279,50,6.9,3
279,52,5.3,4
279,59,6.3,5
279,66,5.5,4
279,80,5.4,4
279,87,5.4,4
279,88,7.6,3
279,89,6.4,1
279,90,5.8,5
279,93,7.9,4
279,94,6.5,2
279,98,6.1,5
279,108,7.5,5
279,109,5.9,5
279,118,5.8,4
279,119,7.4,1
279,124,8.1,2
279,128,5.5,2
279,135,6.3,1
279,148,6.6,3
280,1,8.6,2
280,7,5.8,1
280,9,8.2,4
280,17,7.5,2
280,26,6.2,1
280,27,8.7,3
280,29,5.9,4
280,30,5.8,2
280,33,8.3,4
280,35,6.7,3
280,36,5.4,3
280,37,6.6,1
280,38,6.8,1
280,48,6.4,2
280,49,6.4,4
280,59,5.7,2
280,66,6.8,4
280,80,5.3,1
280,87,6.7,3
280,88,9.0,2
280,92,6.3,3
280,93,8.5,2
280,98,8.5,4
280,108,6.5,2
280,119,6.0,5
280,124,7.1,3
280,127,5.6,1
280,128,8.7,2
281,1,5.5,4
281,14,5.6,2
281,17,6.2,5
281,18,5.6,1
281,25,5.1,4
281,26,7.0,2
281,28,7.1,4
281,29,5.3,2
281,32,6.0,1
281,39,5.5,5
281,41,5.4,5
281,43,5.1,4
281,46,5.2,3
281,50,6.7,4
281,53,6.0,1
281,57,5.4,4
281,69,5.3,5
281,73,5.6,3
281,75,5.5,3
281,80,5.3,3
281,83,6.2,1
281,87,5.3,2
281,88,6.7,4
281,95,6.7,2
281,96,5.5,2
281,98,6.1,3
281,100,5.3,4
281,107,5.6,1
281,112,5.6,4
281,113,5.2,4
281,118,5.9,2
281,121,6.4,1
281,124,5.3,4
281,142,6.0,4
281,156,4.2,4
282,1,5.5,1
282,17,5.9,4
282,18,5.2,5
282,26,6.3,4
282,28,7.3,3
282,37,5.1,3
282,39,5.4,5
282,50,6.8,3
282,53,5.7,3
282,55,5.4,4
282,59,5.6,2
282,69,5.4,3
282,73,5.4,4
282,75,5.9,4
282,80,5.1,4
282,83,5.4,2
282,85,5.5,1
282,88,6.4,1
282,95,6.7,1
282,96,5.4,4
282,98,6.0,4
282,100,5.1,1
282,107,5.4,5
282,112,5.3,5
282,114,5.3,1
282,117,5.2,3
282,118,5.7,3
282,124,5.2,3
282,125,5.7,2
282,142,5.7,1
283,8,6.2,4
283,32,7.5,1
283,38,8.1,4
283,53,7.7,4
283,55,6.4,3
283,74,5.7,2
283,80,6.0,2
283,88,7.6,2
283,92,5.4,5
283,96,7.1,1
284,8,6.5,4
284,32,7.5,4
284,38,6.8,2
284,53,7.6,4
284,55,6.0,5
284,74,5.8,2
284,80,6.3,2
284,88,8.0,1
284,96,6.7,5
284,97,5.2,3
285,8,5.2,5
285,32,7.2,3
285,38,6.0,3
285,53,6.8,1
285,74,6.0,5
285,80,7.1,1
285,92,5.3,5
285,96,6.5,2
285,97,5.4,3
286,8,6.3,1
286,32,7.9,1
286,35,7.0,4
286,38,5.9,1
286,53,7.1,3
286,55,6.9,4
286,74,5.7,3
286,80,7.0,1
286,88,7.9,2
286,89,6.7,5
286,92,5.3,4
286,96,6.2,5
286,97,6.4,4
287,8,5.9,3
287,32,7.8,5
287,38,6.2,2
287,53,6.9,2
287,74,6.1,4
287,80,6.6,4
287,88,8.0,3
287,92,5.8,4
287,96,6.0,1
287,97,6.2,3
288,8,5.5,2
288,32,7.9,1
288,38,5.2,2
288,53,6.6,1
288,80,6.1,2
288,88,7.1,2
288,92,5.5,5
288,96,5.5,4
288,97,6.8,5
289,8,6.8,2
289,32,8.6,4
289,38,6.2,2
289,53,7.3,1
289,74,6.4,1
289,80,6.6,2
289,88,7.9,3
289,92,5.8,1
289,96,6.9,2
289,97,6.6,3
290,8,6.1,5
290,32,7.5,3
290,38,5.6,3
290,53,7.7,3
290,74,5.7,1
290,80,7.1,3
290,88,8.0,5
290,92,6.1,3
290,96,6.3,1
291,8,6.2,5
291,32,7.9,4
291,38,6.4,1
291,53,7.0,3
291,80,6.9,1
291,92,5.3,1
291,96,6.3,4
291,97,5.5,4
292,8,6.2,5
292,32,9.4,1
292,38,7.6,1
292,53,7.7,4
292,80,7.1,1
292,96,6.9,3
293,39,6.2,1
293,51,6.3,2
293,71,5.6,2
293,90,5.7,4
293,91,5.6,2
293,108,6.2,4
294,12,6.8,3
294,75,5.8,5
294,117,5.7,1
294,162,7.0,1
295,1,7.9,3
295,2,6.5,2
295,3,6.4,2
295,7,6.2,1
295,8,6.0,2
295,11,6.3,2
295,13,6.3,2
295,14,7.3,5
295,15,5.9,5
295,16,5.7,3
295,17,6.7,2
295,18,6.1,5
295,19,5.9,2
295,21,5.1,5
295,22,6.2,2
295,23,6.4,2
295,29,6.1,5
295,31,6.2,5
295,32,7.4,2
295,33,6.8,2
295,37,6.6,3
295,38,6.4,3
295,39,6.3,3
295,41,7.4,2
295,43,6.2,3
295,44,6.8,5
295,45,6.2,1
295,52,5.8,2
295,53,6.4,4
295,55,6.1,1
295,57,6.5,5
295,59,7.1,3
295,60,6.6,5
295,61,6.4,2
295,63,6.3,5
295,64,5.3,3
295,65,6.8,2
295,67,5.9,4
295,68,6.7,3
295,69,5.2,5
295,70,6.2,2
295,71,7.7,4
295,73,6.7,5
295,74,7.0,5
295,75,6.5,3
295,76,6.8,3
295,80,7.5,2
295,81,6.0,2
295,83,5.6,1
295,84,5.2,1
295,85,6.3,2
295,87,6.0,1
295,92,5.6,3
295,96,6.8,3
295,97,7.8,1
295,98,7.7,5
295,99,7.1,2
295,100,5.9,1
295,101,7.9,3
295,105,5.9,2
295,107,6.6,3
295,110,7.6,3
295,112,6.5,5
295,113,5.4,3
295,114,6.4,5
295,116,7.0,4
295,117,6.3,2
295,118,6.2,1
295,121,7.1,3
295,123,5.9,5
295,124,6.6,3
295,125,6.2,2
295,138,5.3,2
295,141,5.7,4
295,142,6.6,4
295,149,6.3,5
295,150,6.3,3
295,162,5.2,3
295,164,5.7,2
296,13,7.2,3
296,32,7.5,2
296,48,5.7,1
296,73,6.3,2
296,91,6.5,1
296,99,6.9,1
296,108,5.8,4
296,110,5.9,4
296,119,7.7,2
296,120,6.2,4
296,121,6.0,1
296,137,6.0,2
296,168,7.1,5
296,169,6.3,3
296,170,5.9,3
297,1,6.5,2
297,8,5.3,5
297,10,5.8,3
297,13,5.8,2
297,14,5.8,2
297,16,5.5,1
297,22,5.7,5
297,23,5.2,2
297,33,6.1,4
297,37,5.3,1
297,38,5.6,5
297,41,5.4,2
297,43,5.2,4
297,45,6.0,2
297,49,6.4,1
297,53,5.4,1
297,57,5.2,5
297,59,5.5,5
297,61,5.3,5
297,62,6.5,5
297,70,5.8,1
297,71,6.7,5
297,73,5.8,3
297,80,6.0,3
297,85,6.1,4
297,87,5.7,3
297,88,7.4,3
297,96,5.5,4
297,97,5.7,4
297,98,6.0,5
297,99,6.2,2
297,100,5.5,5
297,101,6.2,4
297,107,5.4,4
297,110,5.9,1
297,112,5.4,2
297,114,5.2,3
297,118,6.5,5
297,121,6.0,2
297,124,5.3,1
297,140,5.2,3
297,142,5.7,4
298,1,7.2,3
298,3,5.6,4
298,5,6.6,3
298,7,7.2,1
298,8,6.3,3
298,9,7.3,4
298,10,6.4,5
298,11,5.9,2
298,13,6.4,2
298,14,6.5,5
298,15,5.2,4
298,16,6.5,1
298,17,6.3,1
298,18,5.5,4
298,19,6.9,3
298,21,5.8,2
298,23,6.7,2
298,26,7.5,3
298,27,7.8,3
298,28,6.9,5
298,29,6.4,4
298,30,6.1,4
298,31,6.3,1
298,32,8.9,1
298,33,6.3,5
298,35,6.3,2
298,36,6.4,5
298,39,5.9,4
298,40,5.9,2
298,41,6.1,5
298,42,8.2,1
298,43,5.9,4
298,44,7.1,4
298,45,6.0,2
298,46,6.2,1
298,47,6.6,3
298,48,6.4,4
298,49,6.7,1
298,50,6.0,2
298,52,5.3,2
298,53,6.1,5
298,54,7.1,1
298,55,5.5,2
298,57,5.9,2
298,59,6.4,4
298,60,5.9,5
298,61,6.6,4
298,62,5.3,5
298,63,6.3,5
298,64,5.4,5
298,65,6.6,4
298,66,5.9,1
298,67,6.0,3
298,69,5.2,1
298,70,6.3,2
298,71,7.1,2
298,73,7.2,1
298,74,7.6,3
